ID,Topico,Pergunta,Alt_A,Alt_B,Alt_C,Alt_D,Resposta_Correta,Explicacao,Sua_Resposta,Confianca,Data_Resposta
1,1. Planejar Ambiente,"Uma empresa de varejo deseja criar um ambiente de dados para armazenar e processar grandes volumes de dados de vendas, incluindo informações de clientes, pedidos e estoque. Eles precisam escolher um serviço de armazenamento de dados que seja escalável, seguro e compatível com suas necessidades de processamento de dados. Qual é a melhor opção para o serviço de armazenamento de dados nesse cenário?","Azure Blob Storage, pois é um serviço de armazenamento de objetos que pode armazenar grandes volumes de dados não estruturados","Azure Data Lake Storage, pois é um serviço de armazenamento de dados que é escalável, seguro e compatível com diversas ferramentas de processamento de dados","Azure File Storage, pois é um serviço de armazenamento de arquivos que pode ser usado para armazenar dados estruturados","Azure Queue Storage, pois é um serviço de armazenamento de filas que pode ser usado para armazenar mensagens de processamento de dados",B,"A resposta correta é Azure Data Lake Storage, pois é um serviço de armazenamento de dados que é projetado para armazenar grandes volumes de dados de forma escalável e segura. Além disso, é compatível com diversas ferramentas de processamento de dados, como Azure Databricks, Azure Synapse Analytics e Azure HDInsight, o que permite que a empresa de varejo processe e analise seus dados de forma eficaz. As outras opções não são adequadas para o cenário, pois o Azure Blob Storage é mais adequado para armazenar dados não estruturados, o Azure File Storage é mais adequado para armazenar dados estruturados e o Azure Queue Storage é mais adequado para armazenar mensagens de processamento de dados.",B,Confiante,2026-03-28
2,1. Planejar Ambiente,"Uma empresa de varejo deseja criar um ambiente de dados para armazenar e processar grandes volumes de dados de vendas, incluindo informações de clientes, pedidos e produtos. O objetivo é criar um sistema que possa lidar com a crescente demanda por dados em tempo real e também permitir a análise de tendências e padrões nos dados históricos. Qual é a melhor abordagem para planejar o ambiente de dados?",Utilizar um banco de dados relacional para armazenar todos os dados e realizar processamento em lote durante a noite,"Implementar um lake de dados para armazenar os dados brutos e utilizar serviços de processamento em tempo real, como Azure Stream Analytics, para lidar com os dados em tempo real",Criar um data warehouse para armazenar os dados agregados e utilizar ferramentas de business intelligence para análise,"Utilizar um serviço de armazenamento de objetos, como Azure Blob Storage, para armazenar todos os dados e realizar processamento em lotes usando Azure Functions",B,"A alternativa B é a resposta correta porque ela combina a capacidade de armazenar grandes volumes de dados brutos em um lake de dados com a capacidade de processar esses dados em tempo real usando serviços como Azure Stream Analytics. Isso permite à empresa lidar com a crescente demanda por dados em tempo real e também realizar análises de tendências e padrões nos dados históricos. A alternativa A é incorreta porque um banco de dados relacional pode não ser escalável o suficiente para lidar com grandes volumes de dados e o processamento em lote durante a noite pode não atender às necessidades de tempo real. A alternativa C é parcialmente correta, pois um data warehouse pode ser útil para armazenar dados agregados, mas não aborda a necessidade de processamento em tempo real. A alternativa D é incorreta porque, embora o armazenamento de objetos possa ser útil para armazenar dados, ele não é projetado para processamento em tempo real e o uso de Azure Functions para processamento em lotes pode não ser escalável o suficiente.",B,Pouco Confiante,2026-03-28
3,1. Planejar Ambiente,"Uma empresa de varejo está planejando migrar seu data warehouse para a nuvem e precisa escolher um provedor de serviços de nuvem. Eles têm uma grande quantidade de dados armazenados em bancos de dados relacionais e não relacionais, e precisam garantir que o provedor escolhido possa lidar com esses diferentes tipos de dados. Além disso, a empresa tem uma equipe de engenheiros de dados experientes em tecnologias Microsoft e deseja minimizar os custos de treinamento e integração. Considerando esses requisitos, qual é a melhor opção de provedor de serviços de nuvem para a empresa?","Amazon Web Services (AWS), devido à sua ampla gama de serviços de dados e flexibilidade em lidar com diferentes tipos de dados","Google Cloud Platform (GCP), devido à sua capacidade de lidar com grandes volumes de dados e sua integração com ferramentas de análise de dados avançadas","Microsoft Azure, devido à sua compatibilidade com tecnologias Microsoft e sua capacidade de lidar com bancos de dados relacionais e não relacionais","IBM Cloud, devido à sua experiência em serviços de nuvem empresariais e sua capacidade de lidar com cargas de trabalho complexas",C,"A resposta correta é C, Microsoft Azure, porque a empresa já tem uma equipe de engenheiros de dados experientes em tecnologias Microsoft, o que minimiza os custos de treinamento e integração. Além disso, o Azure oferece uma ampla gama de serviços de dados, incluindo Azure Synapse Analytics (anteriormente Azure SQL Data Warehouse) para bancos de dados relacionais e Azure Cosmos DB para bancos de dados não relacionais, o que atende aos requisitos da empresa em lidar com diferentes tipos de dados. Embora as outras opções sejam provedores de serviços de nuvem capazes, elas não oferecem a mesma compatibilidade e vantagens de custo que o Azure oferece para essa empresa específica.",C,Certeza,2026-03-28
4,1. Planejar Ambiente,Uma empresa de varejo está planejando um ambiente de engenharia de dados para lidar com grandes volumes de dados de vendas e clientes. Eles precisam de um sistema que possa processar e analisar esses dados em tempo real para melhorar a experiência do cliente e otimizar as operações. Qual é a melhor abordagem para planejar o ambiente de engenharia de dados?,Implantar um data warehouse centralizado no local para armazenar e processar todos os dados,"Utilizar um lago de dados baseado em nuvem, como o Azure Data Lake Storage, para armazenar dados brutos e processá-los conforme necessário","Desenvolver um sistema de processamento de fluxo de dados, como o Azure Stream Analytics, para processar dados em tempo real","Criar um hub de dados híbrido, utilizando uma combinação de armazenamento no local e na nuvem, para otimizar o acesso e o processamento de dados",D,"A resposta correta é a alternativa D, criar um hub de dados híbrido, pois essa abordagem permite que a empresa de varejo aproveite os benefícios de armazenar e processar dados tanto no local quanto na nuvem. Isso oferece flexibilidade, escalabilidade e a capacidade de lidar com diferentes tipos de dados e requisitos de processamento. A alternativa A é limitada, pois um data warehouse centralizado pode não ser capaz de lidar com grandes volumes de dados em tempo real. A alternativa B é parcialmente correta, pois um lago de dados é uma boa opção para armazenar dados brutos, mas pode não ser suficiente por si só para atender às necessidades de processamento em tempo real. A alternativa C é também parcialmente correta, pois o processamento de fluxo de dados é importante, mas não aborda a necessidade de armazenamento e gerenciamento de dados.",B,Certeza,2026-03-28
5,1. Planejar Ambiente,Uma empresa de varejo está planejando um ambiente de engenharia de dados para lidar com grandes volumes de dados de vendas e clientes. Eles precisam de um sistema que possa processar e analisar esses dados em tempo real para melhorar a experiência do cliente e otimizar as operações. Qual é a melhor abordagem para planejar o ambiente de engenharia de dados?,Implantar um data warehouse centralizado no local para armazenar e processar todos os dados,"Utilizar um lago de dados baseado em nuvem, como o Azure Data Lake Storage, para armazenar dados brutos e processá-los conforme necessário","Desenvolver um sistema de processamento de fluxo de dados, como o Azure Stream Analytics, para processar dados em tempo real","Criar um hub de dados híbrido, utilizando uma combinação de armazenamento no local e na nuvem, para otimizar o acesso e o processamento de dados",D,"A resposta correta é a alternativa D, criar um hub de dados híbrido, pois essa abordagem permite que a empresa de varejo aproveite os benefícios de armazenar e processar dados tanto no local quanto na nuvem. Isso oferece flexibilidade, escalabilidade e a capacidade de lidar com diferentes tipos de dados e requisitos de processamento. A alternativa A é limitada, pois um data warehouse centralizado pode não ser capaz de lidar com grandes volumes de dados em tempo real. A alternativa B é parcialmente correta, pois um lago de dados é uma boa opção para armazenar dados brutos, mas pode não ser suficiente por si só para atender às necessidades de processamento em tempo real. A alternativa C é também parcialmente correta, pois o processamento de fluxo de dados é importante, mas não aborda a necessidade de armazenamento e gerenciamento de dados.",B,Certeza,2026-03-28
6,1. Planejar Ambiente,Uma empresa de varejo deseja criar um ambiente de engenharia de dados para processar grande volumes de dados de vendas e clientes. Qual é o passo mais importante para planejar esse ambiente?,Definir o orçamento para a infraestrutura de dados,Identificar as necessidades de negócios e os requisitos dos dados,Escolher as ferramentas e tecnologias de engenharia de dados,Contratar um time de especialistas em engenharia de dados,B,"Antes de criar um ambiente de engenharia de dados, é fundamental entender as necessidades de negócios e os requisitos dos dados, pois isso ajudará a definir o escopo do projeto, as ferramentas necessárias e os recursos requeridos.",B,Certeza,2026-04-11
7,1. Planejar Ambiente,Qual é o principal benefício de usar um provedor de nuvem para hospedar um ambiente de engenharia de dados?,Redução de custos de manutenção,Aumento da segurança dos dados,Flexibilidade e escalabilidade,Melhoria da performance dos dados,C,"Os provedores de nuvem oferecem flexibilidade e escalabilidade, permitindo que os ambientes de engenharia de dados sejam rapidamente ajustados para atender às necessidades cambiantes dos negócios, sem a necessidade de investir em hardware e infraestrutura física.",A,Certeza,2026-04-11
8,1. Planejar Ambiente,Um time de engenharia de dados está planejando uma arquitetura de dados para um novo aplicativo. Qual é o fator mais importante a considerar ao escolher um modelo de armazenamento de dados?,O tamanho do armazenamento necessário,A velocidade de leitura e gravação dos dados,A complexidade dos dados e a necessidade de consultas,O custo do armazenamento por GB,C,"O modelo de armazenamento de dados deve ser escolhido com base na complexidade dos dados e na necessidade de consultas, pois isso afetará diretamente a performance e a escalabilidade do aplicativo.",C,Confiante,2026-04-11
9,1. Planejar Ambiente,Qual é o objetivo principal de um plano de governança de dados em um ambiente de engenharia de dados?,Garantir a segurança e privacidade dos dados,Definir as políticas de uso e acesso aos dados,Melhorar a qualidade e integridade dos dados,Todas as alternativas anteriores,D,"Um plano de governança de dados visa garantir a segurança e privacidade dos dados, definir as políticas de uso e acesso aos dados e melhorar a qualidade e integridade dos dados, proporcionando uma abordagem holística para a gestão dos dados.",D,Confiante,2026-04-11
10,1. Planejar Ambiente,Um time de engenharia de dados está planejando uma pipeline de dados para processar grandes volumes de dados. Qual é o fator mais importante a considerar ao escolher um motor de processamento de dados?,A capacidade de processamento por segundo,A compatibilidade com diferentes formatos de dados,A escalabilidade e flexibilidade do motor,O custo da licença do software,C,A escalabilidade e flexibilidade do motor de processamento de dados são fundamentais para lidar com grandes volumes de dados e garantir que a pipeline de dados possa ser adaptada às necessidades cambiantes dos negócios.,C,Pouco Confiante,2026-04-11
